Group of category,Category,sub-Category,Level,Levelname,Data,Indicator,Group of Modality,Modality,years,Comments
Service coverage indicators,Maternal Health,Tetanus vaccination,District,Nyamasheke,83,Percentage whose last birth was protected against neonatal tetanus,,,2010,
Service coverage indicators,Maternal Health,Tetanus vaccination,District,Rulindo,89.4,Percentage whose last birth was protected against neonatal tetanus,,,2010,
Service coverage indicators,Maternal Health,Tetanus vaccination,District,Gakenke,68.7,Percentage whose last birth was protected against neonatal tetanus,,,2010,
Service coverage indicators,Maternal Health,Tetanus vaccination,District,Musanze,83.6,Percentage whose last birth was protected against neonatal tetanus,,,2010,
Service coverage indicators,Maternal Health,Tetanus vaccination,District,Burera,76,Percentage whose last birth was protected against neonatal tetanus,,,2010,
Service coverage indicators,Maternal Health,Tetanus vaccination,District,Gicumbi,88.1,Percentage whose last birth was protected against neonatal tetanus,,,2010,
Service coverage indicators,Maternal Health,Tetanus vaccination,District,Rwamagana,74.6,Percentage whose last birth was protected against neonatal tetanus,,,2010,
Service coverage indicators,Maternal Health,Tetanus vaccination,District,Nyagatare,87.2,Percentage whose last birth was protected against neonatal tetanus,,,2010,
Service coverage indicators,Maternal Health,Tetanus vaccination,District,Gatsibo,82.2,Percentage whose last birth was protected against neonatal tetanus,,,2010,
Service coverage indicators,Maternal Health,Tetanus vaccination,District,Kayonza,82.1,Percentage whose last birth was protected against neonatal tetanus,,,2010,
Service coverage indicators,Maternal Health,Tetanus vaccination,District,Kirehe,85.7,Percentage whose last birth was protected against neonatal tetanus,,,2010,
Service coverage indicators,Maternal Health,Tetanus vaccination,District,Ngoma,78.9,Percentage whose last birth was protected against neonatal tetanus,,,2010,
Service coverage indicators,Maternal Health,Tetanus vaccination,District,Bugesera,74.9,Percentage whose last birth was protected against neonatal tetanus,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,43,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,70.3,Percentage of women with a postnatal checkup in the first two days after birth,,,2020,
Service coverage indicators,Maternal Health,Postnatal care,Province,Kigali City,46.7,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,Province,South,49.2,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,Province,West,37.5,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,Province,North,42.6,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,Province,East,39.6,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,Province,Kigali City,73.0,Percentage of women with a postnatal checkup in the first two days after birth,,,2020,
Service coverage indicators,Maternal Health,Postnatal care,Province,South,73.4,Percentage of women with a postnatal checkup in the first two days after birth,,,2020,
Service coverage indicators,Maternal Health,Postnatal care,Province,West,58.3,Percentage of women with a postnatal checkup in the first two days after birth,,,2020,
Service coverage indicators,Maternal Health,Postnatal care,Province,North,67.0,Percentage of women with a postnatal checkup in the first two days after birth,,,2020,
Service coverage indicators,Maternal Health,Postnatal care,Province,East,79.1,Percentage of women with a postnatal checkup in the first two days after birth,,,2020,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,47.8,Percentage of women with a postnatal checkup in the first two days after birth,Place of residence,Urban,2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,42,Percentage of women with a postnatal checkup in the first two days after birth,Place of residence,Rural,2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,39.6,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q1 (lowest),2015,worst off for populatin
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,39.6,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q2 (second),2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,43,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q3 (middle),2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,44.4,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q4 (fourth),2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,50.4,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q5 (highest),2015,best off for population
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,65.2,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q1 (lowest),2020,worst off for populatin
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,66.3,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q2 (second),2020,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,71.3,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q3 (middle),2020,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,73.7,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q4 (fourth),2020,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,76.9,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q5 (highest),2020,best off for population
Service coverage indicators,Maternal Health,Postnatal care,District,Nyarugenge,49.1,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Gasabo,46.4,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Kicukiro,44.9,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyanza,20.9,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Gisagara,28.3,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyaruguru,66.6,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Huye,45.3,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyamagabe,20.7,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Ruhango,90.4,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Muhanga,53,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Kamonyi,67.4,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Karongi,40.8,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Rutsiro,88.6,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Rubavu,26.9,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyabihu,3.8,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Ngororero,17.8,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Rusizi,28.9,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyamasheke,61.8,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Rulindo,56.5,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Gakenke,39.1,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Musanze,30,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Burera,28,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Gicumbi,59.8,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Rwamagana,96.3,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyagatare,15.9,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Gatsibo,36.5,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Kayonza,32.7,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Kirehe,57.7,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Ngoma,42.1,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Bugesera,10.9,Percentage of women with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,17.6,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,Province,Kigali City,24.8,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,Province,South,23.8,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,Province,West,13.2,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,Province,North,17.9,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,Province,East,13.6,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,23.1,Percentage of women with a postnatal checkup in the first two days after birth,Place of residence,Urban,2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,16.8,Percentage of women with a postnatal checkup in the first two days after birth,Place of residence,Rural,2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,16.3,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q1 (lowest),2010,worst off for populatin
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,16.6,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q2 (second),2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,17.6,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q3 (middle),2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,16,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q4 (fourth),2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,22.5,Percentage of women with a postnatal checkup in the first two days after birth,Wealth quintile,Q5 (highest),2010,best off for population
Service coverage indicators,Maternal Health,Postnatal care,District,Nyarugenge,27.2,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Gasabo,12.6,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Kicukiro,43.4,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyanza,17.4,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Gisagara,21.8,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyaruguru,21.9,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Huye,14.8,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyamagabe,25.2,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Ruhango,26.7,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Muhanga,30.6,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Kamonyi,34.2,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Karongi,12.8,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Rutsiro,12.8,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Rubavu,4.7,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyabihu,5.1,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Ngororero,13.6,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Rusizi,19.7,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyamasheke,21.4,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Rulindo,31.9,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Gakenke,19.7,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Musanze,9.1,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Burera,17,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Gicumbi,16.8,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Rwamagana,7.6,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyagatare,5.9,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Gatsibo,7.1,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Kayonza,19.5,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Kirehe,6.8,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Ngoma,26.3,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Bugesera,23,Percentage of women with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,19.2,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,Province,Kigali City,10.3,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,Province,South,27.8,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,Province,West,14.1,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,Province,North,14.3,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,Province,East,23,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,15.1,Percentage of babies with a postnatal checkup in the first two days after birth,Place of residence,Urban,2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,20.1,Percentage of babies with a postnatal checkup in the first two days after birth,Place of residence,Rural,2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,18.8,Percentage of babies with a postnatal checkup in the first two days after birth,Wealth quintile,Q1 (lowest),2015,worst off for populatin
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,17.2,Percentage of babies with a postnatal checkup in the first two days after birth,Wealth quintile,Q2 (second),2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,21.2,Percentage of babies with a postnatal checkup in the first two days after birth,Wealth quintile,Q3 (middle),2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,21.5,Percentage of babies with a postnatal checkup in the first two days after birth,Wealth quintile,Q4 (fourth),2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,17.9,Percentage of babies with a postnatal checkup in the first two days after birth,Wealth quintile,Q5 (highest),2015,best off for population
Service coverage indicators,Maternal Health,Postnatal care,District,Nyarugenge,8.1,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Gasabo,3.5,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Kicukiro,28.2,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyanza,8.1,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Gisagara,3.8,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyaruguru,58,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Huye,29.8,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyamagabe,3.6,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Ruhango,81,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Muhanga,10.9,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Kamonyi,28.4,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Karongi,2.1,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Rutsiro,88.7,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Rubavu,0,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyabihu,0,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Ngororero,11.8,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Rusizi,1.7,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyamasheke,2.7,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Rulindo,6.9,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Gakenke,22.6,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Musanze,5.9,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Burera,1.1,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Gicumbi,35.5,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Rwamagana,97.2,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyagatare,5.6,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Gatsibo,8.6,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Kayonza,2.1,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Kirehe,50.2,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Ngoma,8,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,District,Bugesera,6.1,Percentage of babies with a postnatal checkup in the first two days after birth,,,2015,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,4.7,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,Province,Kigali City,8.2,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,Province,South,5.7,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,Province,West,2.7,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,Province,North,6.8,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,Province,East,3.4,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,7.4,Percentage of babies with a postnatal checkup in the first two days after birth,Place of residence,Urban,2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,4.3,Percentage of babies with a postnatal checkup in the first two days after birth,Place of residence,Rural,2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,3.5,Percentage of babies with a postnatal checkup in the first two days after birth,Wealth quintile,Q1 (lowest),2010,worst off for populatin
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,4.6,Percentage of babies with a postnatal checkup in the first two days after birth,Wealth quintile,Q2 (second),2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,4.2,Percentage of babies with a postnatal checkup in the first two days after birth,Wealth quintile,Q3 (middle),2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,4.4,Percentage of babies with a postnatal checkup in the first two days after birth,Wealth quintile,Q4 (fourth),2010,
Service coverage indicators,Maternal Health,Postnatal care,National,Rwanda,7.6,Percentage of babies with a postnatal checkup in the first two days after birth,Wealth quintile,Q5 (highest),2010,best off for population
Service coverage indicators,Maternal Health,Postnatal care,District,Nyarugenge,11.7,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Gasabo,1.6,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Kicukiro,16.2,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyanza,5.5,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Gisagara,2.6,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyaruguru,2.5,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Huye,5.5,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyamagabe,2.9,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Ruhango,7.3,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Muhanga,14.7,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Kamonyi,9.1,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Karongi,1.6,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Rutsiro,2.6,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Rubavu,1.4,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyabihu,1.1,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Ngororero,3.4,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Rusizi,4.1,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyamasheke,4.1,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Rulindo,27,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Gakenke,0,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Musanze,4.5,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Burera,3.7,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Gicumbi,5.5,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Rwamagana,0,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Nyagatare,2,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Gatsibo,0.9,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Kayonza,7.1,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Kirehe,1.9,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Ngoma,6.9,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Postnatal care,District,Bugesera,5.4,Percentage of babies with a postnatal checkup in the first two days after birth,,,2010,
Service coverage indicators,Maternal Health,Antenatal Care,National,Rwanda,0.8,Number of months pregnant at time of first antenatal care visit,Time of first antenatal care visit,No antenatal care,2015,"Some categories were ommitted: ""I don't know"" and ""no ANC"""
Service coverage indicators,Maternal Health,Antenatal Care,National,Rwanda,0.1,Number of months pregnant at time of first antenatal care visit,Time of first antenatal care visit,Don’t know/missing,2015,"Some categories were ommitted: ""I don't know"" and ""no ANC"""
Service coverage indicators,Maternal Health,Antenatal Care,National,Rwanda,1.8,Number of months pregnant at time of first antenatal care visit,Time of first antenatal care visit,No antenatal care,2010,"Some categories were ommitted: ""I don't know"" and ""no ANC"""
Service coverage indicators,Maternal Health,Antenatal Care,National,Rwanda,0.1,Number of months pregnant at time of first antenatal care visit,Time of first antenatal care visit,Don’t know/missing,2010,"Some categories were ommitted: ""I don't know"" and ""no ANC"""
Service coverage indicators,Maternal Health,Antenatal Care,National,Rwanda,5.4,Number of months pregnant at time of first antenatal care visit,Time of first antenatal care visit,No antenatal care,2005,"Some categories were ommitted: ""I don't know"" and ""no ANC"""
Service coverage indicators,Maternal Health,Antenatal Care,National,Rwanda,0,Number of months pregnant at time of first antenatal care visit,Time of first antenatal care visit,Don’t know/missing,2005,"Some categories were ommitted: ""I don't know"" and ""no ANC"""
